,FY,State,PPI,ID,UnemploymentRate
0,2005,NSW,82.6,NSW2005,4.9054855
1,2005,VIC,63.2,VIC2005,4.995684
2,2005,QLD,73.3,QLD2005,4.583126
3,2005,SA,69.3,SA2005,5.152846
4,2005,WA,62.6,WA2005,4.633355
5,2005,TAS,76.9,TAS2005,5.6256728
6,2005,NT,54.7,NT2005,4.8448651
7,2005,ACT,69.9,ACT2005,2.8810696
8,2006,NSW,82.3,NSW2006,5.2212495
9,2006,VIC,67.2,VIC2006,4.8313321
10,2006,QLD,77.5,QLD2006,4.4413666
11,2006,SA,73.4,SA2006,4.4812221
12,2006,WA,86.4,WA2006,3.3710233
13,2006,TAS,83.4,TAS2006,6.3428811
14,2006,NT,67.1,NT2006,4.7716023
15,2006,ACT,74.3,ACT2006,2.497056
16,2007,NSW,85.2,NSW2007,4.5241713
17,2007,VIC,76,VIC2007,4.4652388
18,2007,QLD,89,QLD2007,3.5085937
19,2007,SA,81.9,SA2007,4.6825756
20,2007,WA,97.7,WA2007,3.7334684
21,2007,TAS,89.6,TAS2007,4.8863544
22,2007,NT,74.1,NT2007,4.6122355
23,2007,ACT,82,ACT2007,3.0088455
24,2008,NSW,87.3,NSW2008,4.5215183
25,2008,VIC,85.5,VIC2008,4.4748502
26,2008,QLD,101.3,QLD2008,3.6687009
27,2008,SA,93.8,SA2008,4.5110686
28,2008,WA,97.6,WA2008,3.1785794
29,2008,TAS,95.2,TAS2008,3.7698898
30,2008,NT,78.5,NT2008,3.636546
31,2008,ACT,87.7,ACT2008,2.3073028
32,2009,NSW,87.5,NSW2009,6.3467031
33,2009,VIC,86.9,VIC2009,5.8957186
34,2009,QLD,98.8,QLD2009,5.4177069
35,2009,SA,95.8,SA2009,5.1525671
36,2009,WA,95.1,WA2009,5.4184189
37,2009,TAS,96.4,TAS2009,4.1605254
38,2009,NT,89,NT2009,3.4807872
39,2009,ACT,88.7,ACT2009,3.6055525
40,2010,NSW,101.4,NSW2010,5.1316048
41,2010,VIC,106.2,VIC2010,5.2822368
42,2010,QLD,107,QLD2010,5.1245475
43,2010,SA,104.7,SA2010,5.0740874
44,2010,WA,106.6,WA2010,4.0821613
45,2010,TAS,103.6,TAS2010,5.9952228
46,2010,NT,100.9,NT2010,2.7304973
47,2010,ACT,101.6,ACT2010,3.214589
48,2011,NSW,101.4,NSW2011,5.164978
49,2011,VIC,103.5,VIC2011,4.4619074
50,2011,QLD,102.5,QLD2011,5.0518481
51,2011,SA,101,SA2011,4.6916465
52,2011,WA,100.2,WA2011,4.2369252
53,2011,TAS,102.9,TAS2011,5.0328737
54,2011,NT,96.5,NT2011,3.4228913
55,2011,ACT,101.9,ACT2011,4.085422
56,2012,NSW,101.4,NSW2012,5.0909884
57,2012,VIC,99.3,VIC2012,5.2863425
58,2012,QLD,99.9,QLD2012,5.0292541
59,2012,SA,99.6,SA2012,5.9307299
60,2012,WA,101,WA2012,3.4751423
61,2012,TAS,98.2,TAS2012,6.9443704
62,2012,NT,104.1,NT2012,4.3245548
63,2012,ACT,99.5,ACT2012,3.8193851
64,2013,NSW,108.7,NSW2013,5.3012802
65,2013,VIC,102.7,VIC2013,5.6320639
66,2013,QLD,103.2,QLD2013,6.1403618
67,2013,SA,100.9,SA2013,5.564633
68,2013,WA,110.6,WA2013,4.5665656
69,2013,TAS,100,TAS2013,8.6705294
70,2013,NT,111,NT2013,5.8522371
71,2013,ACT,101,ACT2013,3.6491236
72,2014,NSW,126,NSW2014,5.6102855
73,2014,VIC,112.1,VIC2014,6.2713804
74,2014,QLD,110.5,QLD2014,6.1622046
75,2014,SA,105.6,SA2014,6.7822943
76,2014,WA,114.8,WA2014,4.9149258
77,2014,TAS,104.1,TAS2014,7.2371678
78,2014,NT,114.7,NT2014,5.0830556
79,2014,ACT,103.3,ACT2014,3.3636512
80,2015,NSW,149.8,NSW2015,5.6233038
81,2015,VIC,120.8,VIC2015,5.732094
82,2015,QLD,113.7,QLD2015,5.862777
83,2015,SA,108.5,SA2015,7.9210055
84,2015,WA,113.4,WA2015,5.7600255
85,2015,TAS,105.7,TAS2015,6.4285067
86,2015,NT,112.6,NT2015,4.7488497
87,2015,ACT,106.2,ACT2015,3.603596
88,2016,NSW,155.2,NSW2016,5.0348001
89,2016,VIC,130.7,VIC2016,5.3955978
90,2016,QLD,118.6,QLD2016,6.2597899
91,2016,SA,112.3,SA2016,6.9912245
92,2016,WA,108,WA2016,5.567955
93,2016,TAS,110.9,TAS2016,6.540314
94,2016,NT,105.3,NT2016,3.6121207
95,2016,ACT,112.6,ACT2016,3.0720074
96,2017,NSW,176.6,NSW2017,4.6490284
97,2017,VIC,148.7,VIC2017,5.6201863
98,2017,QLD,122.1,QLD2017,6.4186424
99,2017,SA,117.9,SA2017,6.4154767
100,2017,WA,104.7,WA2017,5.306501
101,2017,TAS,124.7,TAS2017,5.4876285
102,2017,NT,100.1,NT2017,3.1464868
103,2017,ACT,121.5,ACT2017,4.711885
104,2018,NSW,169.8,NSW2018,4.5464979
105,2018,VIC,152.1,VIC2018,5.2673817
106,2018,QLD,124.2,QLD2018,5.9103659
107,2018,SA,120.4,SA2018,5.2755174
108,2018,WA,103.8,WA2018,5.7041977
109,2018,TAS,144,TAS2018,5.6506119
110,2018,NT,94,NT2018,4.3034826
111,2018,ACT,125.2,ACT2018,3.2057924
112,2019,NSW,153.5,NSW2019,4.5087256
113,2019,VIC,137.9,VIC2019,4.5481106
114,2019,QLD,120.9,QLD2019,6.5664759
115,2019,SA,120.3,SA2019,5.8057348
116,2019,WA,99.7,WA2019,5.2711601
117,2019,TAS,146.9,TAS2019,6.5941682
118,2019,NT,89.3,NT2019,4.4252997
119,2019,ACT,124.7,ACT2019,2.3043998
120,2020,NSW,165.9,NSW2020,6.7145345
121,2020,VIC,150,VIC2020,7.1049021
122,2020,QLD,123.7,QLD2020,7.8824522
123,2020,SA,121.1,SA2020,8.4119434
124,2020,WA,99.5,WA2020,7.9774368
125,2020,TAS,155.8,TAS2020,6.7523991
126,2020,NT,86.9,NT2020,5.3283435
127,2020,ACT,129.2,ACT2020,4.1237001
